StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1
2023-03-30 21:17:21,2023-03-30 21:17:59,0,77.18.52.47,100,37,1,2023-03-30 21:17:59,R_2wzWwUr5WKGoh8K,,,,,59.955,10.859,anonymous,EN,,4
2023-03-30 21:37:30,2023-03-30 21:37:55,0,77.16.209.215,100,25,1,2023-03-30 21:37:55,R_1NgIa1B4f2AS9PB,,,,,59.955,10.859,anonymous,EN,,1
2023-03-30 21:55:40,2023-03-30 21:56:23,0,84.5.158.185,100,43,1,2023-03-30 21:56:24,R_31illDAmBHlcN1H,,,,,45.5623,6.0055,anonymous,EN,,3
2023-03-30 22:02:00,2023-03-30 22:02:34,0,185.124.55.208,100,33,1,2023-03-30 22:02:35,R_3G8rMg0ICw9EmHF,,,,,70.4418,24.1311,anonymous,EN,,4
2023-03-30 22:03:36,2023-03-30 22:06:55,0,77.18.63.131,100,199,1,2023-03-30 22:06:57,R_1LYl0L24a2ilUhL,,,,,59.955,10.859,anonymous,EN,,3
2023-03-30 22:00:40,2023-03-30 22:09:25,0,193.212.155.109,100,524,1,2023-03-30 22:09:25,R_1cV9LsmGWEtbSkZ,,,,,69.6341,18.9745,anonymous,EN,,3
2023-03-30 22:48:45,2023-03-30 22:49:21,0,193.157.143.238,100,35,1,2023-03-30 22:49:21,R_2fpTk83MTdm6c0P,,,,,59.955,10.859,anonymous,EN,,3
2023-03-30 22:47:54,2023-03-30 22:50:21,0,85.164.16.133,100,146,1,2023-03-30 22:50:22,R_ba4suhLHGA6PrjP,,,,,69.6513,18.9619,anonymous,EN,,3
2023-03-30 22:53:59,2023-03-30 22:55:16,0,92.220.113.10,100,76,1,2023-03-30 22:55:17,R_2z5QWsGMOXsqyQo,,,,,60.0261,10.4349,anonymous,EN,,3
2023-03-30 23:11:22,2023-03-30 23:12:13,0,89.8.224.10,100,51,1,2023-03-30 23:12:14,R_32WPJwiIjW5rKMO,,,,,59.9452,10.7559,anonymous,EN,,4
2023-03-30 23:32:18,2023-03-30 23:32:53,0,46.230.129.190,100,35,1,2023-03-30 23:32:55,R_20OobqKyIjKqCQ5,,,,,59.8636,10.7961,anonymous,EN,,2
2023-03-30 23:34:19,2023-03-30 23:35:46,0,89.11.193.101,100,86,1,2023-03-30 23:35:46,R_BQwPPF5lS04KQwx,,,,,59.955,10.859,anonymous,EN,,4
2023-03-30 23:36:45,2023-03-30 23:38:16,0,178.74.51.96,100,90,1,2023-03-30 23:38:18,R_2XpbE1G5pd8cJI7,,,,,69.637,18.9415,anonymous,EN,2,
2023-03-30 23:38:22,2023-03-30 23:38:26,0,178.74.51.96,100,4,1,2023-03-30 23:38:27,R_sXTAp94XoAIdd3X,,,,,69.637,18.9415,anonymous,EN,,2
2023-03-30 23:46:54,2023-03-30 23:47:48,0,78.31.84.116,100,54,1,2023-03-30 23:47:49,R_bD7MbvK1XFRpRRL,,,,,62.5446,7.7016,anonymous,EN,,4
2023-03-30 23:52:04,2023-03-30 23:52:49,0,79.160.183.59,100,45,1,2023-03-30 23:52:50,R_1QGTOwiL3dBklYs,,,,,59.412,9.0668,anonymous,EN,,2
2023-03-31 00:00:10,2023-03-31 00:01:02,0,178.74.59.100,100,52,1,2023-03-31 00:01:03,R_3PdwfaaHMKzodtE,,,,,69.638,18.9395,anonymous,EN,,3
2023-03-31 00:12:32,2023-03-31 00:14:20,0,62.50.179.238,100,108,1,2023-03-31 00:14:22,R_1M3Y1qDAtItNtTD,,,,,61.5692,6.477,anonymous,EN,,3
2023-03-31 00:30:39,2023-03-31 00:31:34,0,85.165.66.221,100,54,1,2023-03-31 00:31:36,R_abk1VPEu1LcIDlf,,,,,69.6429,18.8967,anonymous,EN,,2
2023-03-31 01:12:45,2023-03-31 01:13:41,0,1.157.235.144,100,56,1,2023-03-31 01:13:42,R_3NQwcS3rQPDjgW4,,,,,-33.8715,151.2006,anonymous,EN,,3
2023-03-31 02:31:13,2023-03-31 02:32:06,0,148.252.110.181,100,52,1,2023-03-31 02:32:06,R_23VlzvvrXDyEHzs,,,,,63.4793,10.9186,anonymous,EN,,3
2023-03-31 06:24:31,2023-03-31 06:25:31,0,109.189.238.40,100,59,1,2023-03-31 06:25:33,R_2RX7zn5RKyRFIk0,,,,,69.637,18.9415,anonymous,EN,,3
2023-03-31 06:36:36,2023-03-31 06:37:37,0,95.34.115.155,100,61,1,2023-03-31 06:37:38,R_1DNEZxlpNjCgCn7,,,,,59.955,10.859,anonymous,EN,,4
2023-03-31 07:11:03,2023-03-31 07:11:42,0,77.18.60.8,100,39,1,2023-03-31 07:11:44,R_1mOsvkqGavayVmG,,,,,59.955,10.859,anonymous,EN,,4
2023-03-31 07:25:12,2023-03-31 07:26:34,0,77.16.223.223,100,81,1,2023-03-31 07:26:36,R_1lcLzS7oIi9g7Pz,,,,,59.955,10.859,anonymous,EN,,3
2023-03-31 07:26:47,2023-03-31 07:27:42,0,83.243.140.50,100,54,1,2023-03-31 07:27:42,R_28Byw1vyewNHAhM,,,,,62.4681,6.212,anonymous,EN,,3
2023-03-31 07:27:49,2023-03-31 07:27:55,8,83.243.140.50,100,5,1,2023-03-31 07:27:55,R_z5Xg7G9jSdy4w6J,,,,,62.4681,6.212,anonymous,EN,,3
2023-03-31 07:52:05,2023-03-31 07:53:11,0,51.175.178.217,100,65,1,2023-03-31 07:53:11,R_1I4SoXS81SQDaGG,,,,,59.955,10.859,anonymous,EN,,3
2023-03-31 08:03:03,2023-03-31 08:04:07,0,46.212.164.134,100,63,1,2023-03-31 08:04:09,R_3nPNCiO6g8jol87,,,,,69.6634,29.9443,anonymous,EN,,3
2023-03-31 08:07:08,2023-03-31 08:07:26,0,129.242.83.238,100,18,1,2023-03-31 08:07:27,R_ULwIFA5sPNb22SB,,,,,69.638,18.9395,anonymous,EN,,4
2023-03-31 08:28:52,2023-03-31 08:29:15,0,90.230.107.182,100,22,1,2023-03-31 08:29:16,R_111Npatd5PZX1no,,,,,63.1782,14.6269,anonymous,EN,,3
2023-03-31 08:49:04,2023-03-31 08:49:45,0,88.89.91.33,100,41,1,2023-03-31 08:49:45,R_3iwj78gaBmpbs4E,,,,,60.9431,10.5877,anonymous,EN,,4
2023-03-31 09:14:50,2023-03-31 09:15:59,0,193.71.137.239,100,69,1,2023-03-31 09:16:01,R_2Y4lh2jU6kHOfeJ,,,,,69.6513,18.9619,anonymous,EN,,1
2023-03-31 08:52:58,2023-03-31 09:18:53,0,78.26.43.43,100,1554,1,2023-03-31 09:18:55,R_2pQ6M62uZFarqOT,,,,,68.579,14.9191,anonymous,EN,,2
2023-03-31 09:26:01,2023-03-31 09:26:51,0,129.242.246.167,100,49,1,2023-03-31 09:26:52,R_1F98kDBwxVjuuaR,,,,,69.6513,18.9619,anonymous,EN,,4
2023-03-31 09:29:15,2023-03-31 09:30:46,0,81.191.133.197,100,90,1,2023-03-31 09:30:47,R_w6IqzoypkYaqGgF,,,,,69.6538,18.941,anonymous,EN,,
